n = 2048
1953	1324
737	904
150	1961
958	523
1521	1551
1612	497
1499	1557
619	1285
531	540
1269	1277
25	466
174	349
1374	1009
350	769
1996	1399
1821	1852
1133	1939
694	668
246	1553
1530	1543
885	1446
1760	823
1547	1530
1268	677
532	1795
1893	517
1817	1224
215	1905
1184	1389
568	379
1635	212
493	490
1525	1310
484	1771
291	849
1046	521
849	37
1538	1547
979	589
1530	388
649	578
520	519
471	546
33	1653
1236	1358
102	1714
490	513
899	1226
1241	1393
1542	1486
1653	1527
38	1950
2002	1000
566	600
1400	1111
547	990
1550	1232
1196	1444
378	1391
1547	1528
416	615
784	1623
239	1061
524	528
192	1636
257	835
2009	1464
561	1711
1301	1893
306	1810
352	485
1726	179
1904	1705
951	1777
518	489
1562	1547
1378	1419
141	1873
1737	620
1335	1145
503	541
1633	2042
200	561
1527	1522
530	491
1068	1473
532	499
1358	392
649	1112
1172	1
1545	1557
219	1704
1944	610
358	717
1532	2023
301	996
892	1962
1516	1534
1528	1766
1831	127
1644	797
1149	186
64	1165
1051	1199
308	1475
364	873
1927	416
891	29
1595	1551
1096	430
859	1195
1438	1457
1668	1708
882	1745
1311	950
42	364
1550	1528
1460	1317
1547	796
1911	2037
22	1327
1380	468
1252	1446
1049	2047
651	1990
1133	712
1935	667
493	502
60	220
212	1967
1888	273
1870	1711
483	222
906	1466
1510	1514
442	986
1542	1532
1543	1543
1985	357
1545	1532
287	382
2025	1885
838	1594
755	747
1789	1555
445	1833
1695	782
509	543
410	972
521	1540
1366	1333
500	499
1841	695
1558	5
318	482
1555	1551
1792	1307
505	495
1937	200
1305	998
1936	1363
1530	1517
518	533
50	396
1207	599
1546	1576
478	510
998	1832
154	1543
504	487
532	509
1170	1679
33	1789
508	527
914	397
107	1504
1485	1950
46	863
905	721
1535	1491
300	1172
311	590
327	647
535	534
1561	1499
1511	1550
503	512
1992	727
388	514
783	39
511	507
172	109
629	587
319	1703
1186	988
1246	1558
1775	1193
288	451
305	1647
490	484
979	274
1010	891
800	1072
1533	1484
22	1824
1721	749
1514	1522
523	537
490	1421
56	218
1478	131
498	529
764	201
1224	732
1391	96
1531	948
437	1431
1215	1788
1524	1499
140	1373
495	512
1009	426
1923	1913
18	1783
464	547
64	887
1569	1524
1752	1371
766	1317
1048	747
1494	1518
1578	1562
1335	1930
167	1255
847	1311
501	489
1699	1510
1724	732
751	1421
1296	1598
1600	275
1534	1532
1803	160
535	503
243	1581
1506	642
1217	747
515	1540
1945	1489
1553	1537
1879	1063
114	919
495	521
98	1816
943	886
1925	919
1701	1707
509	541
521	567
535	2041
1695	929
1423	1586
1544	1521
16	943
1662	125
464	201
1877	1189
489	515
1545	156
1048	1179
553	734
854	269
1835	1822
496	518
176	1964
660	490
106	289
80	24
522	539
597	903
1048	1595
1519	995
1157	760
1401	262
1361	1553
940	894
202	1167
1330	602
383	1615
1518	1538
832	1831
1402	1002
537	500
289	877
490	1125
1602	1645
1530	1560
1267	990
1536	1542
1078	1248
1625	386
1544	1546
510	521
511	503
1092	817
1557	1530
666	1878
1534	1538
1204	757
1542	1506
1349	1689
1650	1043
539	513
784	1312
1550	1552
1722	377
1008	1067
1987	1231
495	6
495	531
1377	840
1968	585
1413	1108
1516	1564
1021	1290
1465	1108
1280	1681
1295	1147
1913	594
1685	1636
592	923
108	1797
1748	1946
1216	652
730	1139
1526	1525
671	1882
1329	1415
373	429
1864	75
907	945
517	507
238	733
1904	1183
625	238
1559	1524
518	513
517	493
1153	876
1552	1469
787	1491
780	1211
1778	2043
484	401
300	536
1495	107
168	1853
1638	234
1532	1524
494	510
131	870
108	486
1560	1532
27	1760
1453	1262
999	447
1525	512
1064	217
39	270
1542	1543
509	512
1418	1022
1560	1854
8	1969
1315	1671
513	535
1322	1534
470	1585
1177	779
862	10
832	738
1216	437
2041	116
2021	595
652	261
1720	81
3	1176
516	78
2020	2003
1386	181
852	1040
756	646
900	1420
1517	75
1796	260
1546	1570
193	1023
1850	1230
842	1136
576	2040
